solve time,all time,satisfiable,size,solutions,demands,wavelengths,graph
0.026788976043462753,0.0267973430454731,true,30,-1,1,8,res_HiberniaIreland.gml
0.02579212188720703,0.025799419730901718,true,116,-1,2,8,res_HiberniaIreland.gml
0.02777797356247902,0.02778536081314087,true,453,-1,3,8,res_HiberniaIreland.gml
0.03706500679254532,0.03707416355609894,true,1514,-1,4,8,res_HiberniaIreland.gml
0.040016841143369675,0.040025971829891205,true,1732,-1,5,8,res_HiberniaIreland.gml
0.07083673775196075,0.07084488868713379,true,70043,-1,6,8,res_HiberniaIreland.gml
0.6143538244068623,0.6143621765077114,true,201453,-1,7,8,res_HiberniaIreland.gml
2.1780230589210987,2.1780429668724537,true,421658,-1,8,8,res_HiberniaIreland.gml
16.218298088759184,16.218307681381702,true,4279841,-1,9,8,res_HiberniaIreland.gml
138.43456759303808,138.43457651510835,true,30737242,-1,10,8,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,11,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,12,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,13,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,14,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,15,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,16,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,17,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,18,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,19,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,20,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,21,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,22,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,23,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,24,3600,res_HiberniaIreland.gml
3600,3600,3600,3600,3600,25,3600,res_HiberniaIreland.gml
3.1707619950175285,3.170769214630127,true,87,-1,1,8,res_Litnet.gml
2.838902022689581,2.83890887349844,true,327,-1,2,8,res_Litnet.gml
2.6228262297809124,2.6228313371539116,true,832,-1,3,8,res_Litnet.gml
3.0664239786565304,3.0664311312139034,true,2613,-1,4,8,res_Litnet.gml
2.8520066291093826,2.8520130589604378,true,9017,-1,5,8,res_Litnet.gml
2.6713272035121918,2.671332512050867,true,30112,-1,6,8,res_Litnet.gml
3.1707112826406956,3.17071720585227,true,122606,-1,7,8,res_Litnet.gml
4.937864989042282,4.937871810048819,true,501826,-1,8,8,res_Litnet.gml
14.532437141984701,14.532443184405565,true,3214823,-1,9,8,res_Litnet.gml
132.76109187677503,132.76109913364053,true,26874292,-1,10,8,res_Litnet.gml
1329.0987299494445,1329.0987352505326,true,220369468,-1,11,8,res_Litnet.gml
3600,3600,3600,3600,3600,12,3600,res_Litnet.gml
3600,3600,3600,3600,3600,13,3600,res_Litnet.gml
3600,3600,3600,3600,3600,14,3600,res_Litnet.gml
3600,3600,3600,3600,3600,15,3600,res_Litnet.gml
3600,3600,3600,3600,3600,16,3600,res_Litnet.gml
3600,3600,3600,3600,3600,17,3600,res_Litnet.gml
3600,3600,3600,3600,3600,18,3600,res_Litnet.gml
3600,3600,3600,3600,3600,19,3600,res_Litnet.gml
3600,3600,3600,3600,3600,20,3600,res_Litnet.gml
3600,3600,3600,3600,3600,21,3600,res_Litnet.gml
3600,3600,3600,3600,3600,22,3600,res_Litnet.gml
3600,3600,3600,3600,3600,23,3600,res_Litnet.gml
3600,3600,3600,3600,3600,24,3600,res_Litnet.gml
3600,3600,3600,3600,3600,25,3600,res_Litnet.gml
0.01922297105193138,0.019238118082284927,true,11,-1,1,8,res_Mren.gml
0.024515431374311447,0.02452709525823593,true,21,-1,2,8,res_Mren.gml
0.022734642028808594,0.02274392917752266,true,52,-1,3,8,res_Mren.gml
0.023058664053678513,0.02307770401239395,true,62,-1,4,8,res_Mren.gml
0.025744352489709854,0.025753434747457504,true,240,-1,5,8,res_Mren.gml
0.030835885554552078,0.030844882130622864,true,998,-1,6,8,res_Mren.gml
0.040009934455156326,0.04001966491341591,true,5572,-1,7,8,res_Mren.gml
0.06254356727004051,0.0625523217022419,true,11022,-1,8,8,res_Mren.gml
0.10609591007232666,0.10610496252775192,true,15800,-1,9,8,res_Mren.gml
0.17126688361167908,0.1712758205831051,true,21074,-1,10,8,res_Mren.gml
2.5202025659382343,2.520211834460497,true,496440,-1,11,8,res_Mren.gml
26.56656600907445,26.566574808210135,true,2809734,-1,12,8,res_Mren.gml
114.57225033640862,114.57225958257914,true,9400952,-1,13,8,res_Mren.gml
395.18156373128295,395.1815727427602,true,29711572,-1,14,8,res_Mren.gml
940.4894316159189,940.4894442595541,true,47461004,-1,15,8,res_Mren.gml
2562.8986816853285,2562.898690585047,true,67354730,-1,16,8,res_Mren.gml
3600,3600,3600,3600,3600,17,3600,res_Mren.gml
3600,3600,3600,3600,3600,18,3600,res_Mren.gml
3600,3600,3600,3600,3600,19,3600,res_Mren.gml
3600,3600,3600,3600,3600,20,3600,res_Mren.gml
3600,3600,3600,3600,3600,21,3600,res_Mren.gml
3600,3600,3600,3600,3600,22,3600,res_Mren.gml
3600,3600,3600,3600,3600,23,3600,res_Mren.gml
3600,3600,3600,3600,3600,24,3600,res_Mren.gml
3600,3600,3600,3600,3600,25,3600,res_Mren.gml
0.04915777966380119,0.04916713386774063,true,27,-1,1,8,res_Nordu1997.gml
0.051308248192071915,0.051319513469934464,true,53,-1,2,8,res_Nordu1997.gml
0.05355391651391983,0.05356331542134285,true,100,-1,3,8,res_Nordu1997.gml
0.057873014360666275,0.05789925530552864,true,126,-1,4,8,res_Nordu1997.gml
0.06211444362998009,0.06212398409843445,true,228,-1,5,8,res_Nordu1997.gml
0.06872114166617393,0.06873038411140442,true,254,-1,6,8,res_Nordu1997.gml
0.07475300505757332,0.07476325705647469,true,812,-1,7,8,res_Nordu1997.gml
0.11030882224440575,0.11031859740614891,true,6242,-1,8,8,res_Nordu1997.gml
0.22677943482995033,0.22679051011800766,true,38008,-1,9,8,res_Nordu1997.gml
3.2381379641592503,3.2381476685404778,true,774762,-1,10,8,res_Nordu1997.gml
9.229746427387,9.229788016527891,true,863684,-1,11,8,res_Nordu1997.gml
17.18468102440238,17.18469062820077,true,884634,-1,12,8,res_Nordu1997.gml
22.83874386548996,22.838754266500473,true,887180,-1,13,8,res_Nordu1997.gml
51.92486346513033,51.9248729608953,true,3928034,-1,14,8,res_Nordu1997.gml
236.97174867987633,236.9717588275671,true,9901492,-1,15,8,res_Nordu1997.gml
449.25971932709217,449.25973120331764,true,10877706,-1,16,8,res_Nordu1997.gml
731.1686763055623,731.1686861366034,true,11635700,-1,17,8,res_Nordu1997.gml
2373.453287165612,2373.453297160566,true,98435082,-1,18,8,res_Nordu1997.gml
3600,3600,3600,3600,3600,19,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,20,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,21,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,22,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,23,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,24,3600,res_Nordu1997.gml
3600,3600,3600,3600,3600,25,3600,res_Nordu1997.gml
0.029990244656801224,0.029999352991580963,true,19,-1,1,8,res_Cesnet1993.gml
0.029794618487358093,0.029803458601236343,true,37,-1,2,8,res_Cesnet1993.gml
0.03473570942878723,0.03474431484937668,true,55,-1,3,8,res_Cesnet1993.gml
0.03451254963874817,0.0345274992287159,true,73,-1,4,8,res_Cesnet1993.gml
0.03825172036886215,0.03826577216386795,true,91,-1,5,8,res_Cesnet1993.gml
0.04796546325087547,0.047977514564991,true,130,-1,6,8,res_Cesnet1993.gml
0.04861656203866005,0.048625655472278595,true,652,-1,7,8,res_Cesnet1993.gml
0.09526050090789795,0.09527407214045525,true,22896,-1,8,8,res_Cesnet1993.gml
0.27653342485427856,0.27654679492115974,true,49388,-1,9,8,res_Cesnet1993.gml
0.6558668576180935,0.655876561999321,true,87650,-1,10,8,res_Cesnet1993.gml
1.176902536302805,1.176914531737566,true,87668,-1,11,8,res_Cesnet1993.gml
1.8415854834020138,1.8415980637073517,true,87914,-1,12,8,res_Cesnet1993.gml
2.536910727620125,2.5369234569370747,true,88296,-1,13,8,res_Cesnet1993.gml
4.249990236014128,4.2499998696148396,true,270238,-1,14,8,res_Cesnet1993.gml
6.621557615697384,6.621567204594612,true,298900,-1,15,8,res_Cesnet1993.gml
29.502384200692177,29.502399396151304,true,2389342,-1,16,8,res_Cesnet1993.gml
62.03309451043606,62.03310341015458,true,2407634,-1,17,8,res_Cesnet1993.gml
108.79872372746468,108.79873260110617,true,3464138,-1,18,8,res_Cesnet1993.gml
164.24216863885522,164.2421789728105,true,3464156,-1,19,8,res_Cesnet1993.gml
1244.3854121752083,1244.3854225687683,true,13232458,-1,20,8,res_Cesnet1993.gml
3600,3600,3600,3600,3600,21,3600,res_Cesnet1993.gml
3600,3600,3600,3600,3600,22,3600,res_Cesnet1993.gml
3600,3600,3600,3600,3600,23,3600,res_Cesnet1993.gml
3600,3600,3600,3600,3600,24,3600,res_Cesnet1993.gml
3600,3600,3600,3600,3600,25,3600,res_Cesnet1993.gml
0.045748986303806305,0.04575834423303604,true,25,-1,1,8,res_Cesnet1997.gml
0.04239027947187424,0.042397912591695786,true,49,-1,2,8,res_Cesnet1997.gml
0.04595663398504257,0.04596428573131561,true,73,-1,3,8,res_Cesnet1997.gml
0.04845794662833214,0.04846613109111786,true,97,-1,4,8,res_Cesnet1997.gml
0.053964126855134964,0.053971875458955765,true,142,-1,5,8,res_Cesnet1997.gml
0.058773502707481384,0.058782972395420074,true,334,-1,6,8,res_Cesnet1997.gml
0.06598244979977608,0.06599171832203865,true,1846,-1,7,8,res_Cesnet1997.gml
0.07737917453050613,0.07738671451807022,true,2078,-1,8,8,res_Cesnet1997.gml
0.11457087472081184,0.11461734771728516,true,5470,-1,9,8,res_Cesnet1997.gml
0.15021509304642677,0.15022284910082817,true,5494,-1,10,8,res_Cesnet1997.gml
0.19211570918560028,0.19212491437792778,true,7334,-1,11,8,res_Cesnet1997.gml
0.2773987911641598,0.27741820737719536,true,14702,-1,12,8,res_Cesnet1997.gml
2.0736397989094257,2.0736478827893734,true,391554,-1,13,8,res_Cesnet1997.gml
12.943783666938543,12.943792942911386,true,1306270,-1,14,8,res_Cesnet1997.gml
116.17564959451556,116.17565704137087,true,6925788,-1,15,8,res_Cesnet1997.gml
633.5351986251771,633.5352101437747,true,49189966,-1,16,8,res_Cesnet1997.gml
3600,3600,3600,3600,3600,17,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,18,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,19,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,20,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,21,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,22,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,23,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,24,3600,res_Cesnet1997.gml
3600,3600,3600,3600,3600,25,3600,res_Cesnet1997.gml
1.1923465877771378,1.1923533380031586,true,81,-1,1,8,res_GtsHungary.gml
1.1957854889333248,1.195791233330965,true,211,-1,2,8,res_GtsHungary.gml
1.1621050834655762,1.1621114797890186,true,1124,-1,3,8,res_GtsHungary.gml
1.1694070883095264,1.169412788003683,true,2831,-1,4,8,res_GtsHungary.gml
1.1886962577700615,1.1887024864554405,true,3466,-1,5,8,res_GtsHungary.gml
1.2760187163949013,1.2760248370468616,true,12152,-1,6,8,res_GtsHungary.gml
1.31710110232234,1.3171069584786892,true,31232,-1,7,8,res_GtsHungary.gml
2.202896561473608,2.202901992946863,true,654807,-1,8,8,res_GtsHungary.gml
8.74226377159357,8.742271054536104,true,1804384,-1,9,8,res_GtsHungary.gml
44.65847306698561,44.65847945213318,true,8170121,-1,10,8,res_GtsHungary.gml
166.43268692865968,166.43269364535809,true,15733969,-1,11,8,res_GtsHungary.gml
582.3146768808365,582.314683444798,true,49398270,-1,12,8,res_GtsHungary.gml
3600,3600,3600,3600,3600,13,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,14,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,15,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,16,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,17,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,18,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,19,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,20,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,21,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,22,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,23,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,24,3600,res_GtsHungary.gml
3600,3600,3600,3600,3600,25,3600,res_GtsHungary.gml
0.020337268710136414,0.020348384976387024,true,13,-1,1,8,res_Basnet.gml
0.02018314227461815,0.020191024988889694,true,25,-1,2,8,res_Basnet.gml
0.02225489914417267,0.02226506918668747,true,37,-1,3,8,res_Basnet.gml
0.02218477427959442,0.022192444652318954,true,70,-1,4,8,res_Basnet.gml
0.02727392688393593,0.0272841677069664,true,250,-1,5,8,res_Basnet.gml
0.03465002775192261,0.03466144576668739,true,1606,-1,6,8,res_Basnet.gml
0.044322606176137924,0.04433099552989006,true,3490,-1,7,8,res_Basnet.gml
0.060584668070077896,0.06060005724430084,true,9078,-1,8,8,res_Basnet.gml
0.23365219309926033,0.23366452381014824,true,93230,-1,9,8,res_Basnet.gml
1.92041639611125,1.9204261302947998,true,276918,-1,10,8,res_Basnet.gml
5.777803424745798,5.7778149619698524,true,1013146,-1,11,8,res_Basnet.gml
20.93808827921748,20.938095819205046,true,1083538,-1,12,8,res_Basnet.gml
109.2396050170064,109.23961365222931,true,10512652,-1,13,8,res_Basnet.gml
685.94924165681,685.949248380959,true,61134538,-1,14,8,res_Basnet.gml
2664.7060802467167,2664.7060883753,true,164017586,-1,15,8,res_Basnet.gml
3600,3600,3600,3600,3600,16,3600,res_Basnet.gml
3600,3600,3600,3600,3600,17,3600,res_Basnet.gml
3600,3600,3600,3600,3600,18,3600,res_Basnet.gml
3600,3600,3600,3600,3600,19,3600,res_Basnet.gml
3600,3600,3600,3600,3600,20,3600,res_Basnet.gml
3600,3600,3600,3600,3600,21,3600,res_Basnet.gml
3600,3600,3600,3600,3600,22,3600,res_Basnet.gml
3600,3600,3600,3600,3600,23,3600,res_Basnet.gml
3600,3600,3600,3600,3600,24,3600,res_Basnet.gml
3600,3600,3600,3600,3600,25,3600,res_Basnet.gml
0.019400451332330704,0.01941278576850891,true,13,-1,1,8,res_Padi.gml
0.01981149986386299,0.01983051374554634,true,25,-1,2,8,res_Padi.gml
0.02132033184170723,0.02133217081427574,true,37,-1,3,8,res_Padi.gml
0.02317424863576889,0.02318461984395981,true,49,-1,4,8,res_Padi.gml
0.033912088721990585,0.03392666578292847,true,166,-1,5,8,res_Padi.gml
0.031016502529382706,0.031024713069200516,true,374,-1,6,8,res_Padi.gml
0.03793244808912277,0.0379476323723793,true,874,-1,7,8,res_Padi.gml
0.05695515125989914,0.05696360766887665,true,6574,-1,8,8,res_Padi.gml
0.2168431617319584,0.21685484796762466,true,81934,-1,9,8,res_Padi.gml
0.4749421961605549,0.4749511107802391,true,85494,-1,10,8,res_Padi.gml
0.8687351122498512,0.8687432482838631,true,91378,-1,11,8,res_Padi.gml
5.691793400794268,5.691804602742195,true,869074,-1,12,8,res_Padi.gml
22.816338937729597,22.81635170802474,true,2308174,-1,13,8,res_Padi.gml
194.0704146064818,194.0704232864082,true,15427006,-1,14,8,res_Padi.gml
758.9224373102188,758.9224479086697,true,51806650,-1,15,8,res_Padi.gml
3600,3600,3600,3600,3600,16,3600,res_Padi.gml
3600,3600,3600,3600,3600,17,3600,res_Padi.gml
3600,3600,3600,3600,3600,18,3600,res_Padi.gml
3600,3600,3600,3600,3600,19,3600,res_Padi.gml
3600,3600,3600,3600,3600,20,3600,res_Padi.gml
3600,3600,3600,3600,3600,21,3600,res_Padi.gml
3600,3600,3600,3600,3600,22,3600,res_Padi.gml
3600,3600,3600,3600,3600,23,3600,res_Padi.gml
3600,3600,3600,3600,3600,24,3600,res_Padi.gml
3600,3600,3600,3600,3600,25,3600,res_Padi.gml
0.19589610397815704,0.19590314105153084,true,63,-1,1,8,res_Twaren.gml
0.19970735162496567,0.19971468672156334,true,125,-1,2,8,res_Twaren.gml
0.18878979235887527,0.18879739567637444,true,320,-1,3,8,res_Twaren.gml
0.1952889896929264,0.1952955424785614,true,964,-1,4,8,res_Twaren.gml
0.22925709933042526,0.2292630411684513,true,1168,-1,5,8,res_Twaren.gml
0.24402039125561714,0.24402689561247826,true,3650,-1,6,8,res_Twaren.gml
0.2818860188126564,0.2818926014006138,true,14759,-1,7,8,res_Twaren.gml
0.43269192054867744,0.4326982609927654,true,18498,-1,8,8,res_Twaren.gml
0.8003161028027534,0.8003227636218071,true,167775,-1,9,8,res_Twaren.gml
1.7120327651500702,1.7120396047830582,true,177245,-1,10,8,res_Twaren.gml
3.577572986483574,3.577578593045473,true,243973,-1,11,8,res_Twaren.gml
14.395906709134579,14.395912408828735,true,2053425,-1,12,8,res_Twaren.gml
628.8655896522105,628.8655965775251,true,80687516,-1,13,8,res_Twaren.gml
1968.646055571735,1968.6460622474551,true,80700860,-1,14,8,res_Twaren.gml
3600,3600,3600,3600,3600,15,3600,res_Twaren.gml
3600,3600,3600,3600,3600,16,3600,res_Twaren.gml
3600,3600,3600,3600,3600,17,3600,res_Twaren.gml
3600,3600,3600,3600,3600,18,3600,res_Twaren.gml
3600,3600,3600,3600,3600,19,3600,res_Twaren.gml
3600,3600,3600,3600,3600,20,3600,res_Twaren.gml
3600,3600,3600,3600,3600,21,3600,res_Twaren.gml
3600,3600,3600,3600,3600,22,3600,res_Twaren.gml
3600,3600,3600,3600,3600,23,3600,res_Twaren.gml
3600,3600,3600,3600,3600,24,3600,res_Twaren.gml
3600,3600,3600,3600,3600,25,3600,res_Twaren.gml
0.16709575057029724,0.16712657362222672,true,58,-1,1,8,res_HiberniaUk.gml
0.1562376581132412,0.15624642744660378,true,253,-1,2,8,res_HiberniaUk.gml
0.13493769243359566,0.13495096564292908,true,855,-1,3,8,res_HiberniaUk.gml
0.18957813829183578,0.18960484862327576,true,3125,-1,4,8,res_HiberniaUk.gml
0.21616068109869957,0.21618503332138062,true,14325,-1,5,8,res_HiberniaUk.gml
0.30741097405552864,0.30742089077830315,true,83266,-1,6,8,res_HiberniaUk.gml
1.6990916393697262,1.6991016790270805,true,572533,-1,7,8,res_HiberniaUk.gml
14.329219345003366,14.329229701310396,true,4098046,-1,8,8,res_HiberniaUk.gml
125.60656677559018,125.60659085959196,true,30347146,-1,9,8,res_HiberniaUk.gml
333.0917754098773,333.09178430587053,true,34897575,-1,10,8,res_HiberniaUk.gml
2814.9880182631314,2814.9880344755948,true,417709671,-1,11,8,res_HiberniaUk.gml
3600,3600,3600,3600,3600,12,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,13,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,14,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,15,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,16,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,17,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,18,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,19,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,20,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,21,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,22,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,23,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,24,3600,res_HiberniaUk.gml
3600,3600,3600,3600,3600,25,3600,res_HiberniaUk.gml
0.04637986049056053,0.046391744166612625,true,25,-1,1,8,res_Kreonet.gml
0.04747284576296806,0.047482915222644806,true,49,-1,2,8,res_Kreonet.gml
0.04918550327420235,0.049194879829883575,true,73,-1,3,8,res_Kreonet.gml
0.055964093655347824,0.055974144488573074,true,97,-1,4,8,res_Kreonet.gml
0.05973982438445091,0.059749964624643326,true,142,-1,5,8,res_Kreonet.gml
0.0635395459830761,0.06354890391230583,true,166,-1,6,8,res_Kreonet.gml
0.0704195536673069,0.07042917236685753,true,211,-1,7,8,res_Kreonet.gml
0.07939087972044945,0.0794004425406456,true,235,-1,8,8,res_Kreonet.gml
0.08991041034460068,0.08992252498865128,true,574,-1,9,8,res_Kreonet.gml
0.12230319529771805,0.12231270968914032,true,1966,-1,10,8,res_Kreonet.gml
0.14162923395633698,0.14163922891020775,true,1990,-1,11,8,res_Kreonet.gml
0.1700858287513256,0.1700955629348755,true,3550,-1,12,8,res_Kreonet.gml
0.3372341878712177,0.33724337816238403,true,46638,-1,13,8,res_Kreonet.gml
3.162691742181778,3.1627017445862293,true,381574,-1,14,8,res_Kreonet.gml
10.188970725983381,10.18897994607687,true,567482,-1,15,8,res_Kreonet.gml
136.82022228464484,136.82023118436337,true,14038790,-1,16,8,res_Kreonet.gml
1464.8238878250122,1464.8239021413028,true,142031082,-1,17,8,res_Kreonet.gml
3600,3600,3600,3600,3600,18,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,19,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,20,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,21,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,22,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,23,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,24,3600,res_Kreonet.gml
3600,3600,3600,3600,3600,25,3600,res_Kreonet.gml
0.033058051019907,0.03306727856397629,true,19,-1,1,8,res_Ai3.gml
0.030945781618356705,0.030955135822296143,true,37,-1,2,8,res_Ai3.gml
0.03318053111433983,0.033189985901117325,true,76,-1,3,8,res_Ai3.gml
0.036221038550138474,0.036230139434337616,true,94,-1,4,8,res_Ai3.gml
0.04348266124725342,0.0434921495616436,true,142,-1,5,8,res_Ai3.gml
0.04661586508154869,0.04662521928548813,true,160,-1,6,8,res_Ai3.gml
0.0496528223156929,0.049667201936244965,true,178,-1,7,8,res_Ai3.gml
0.05081624537706375,0.05082352086901665,true,301,-1,8,8,res_Ai3.gml
0.06649124994874,0.06650103256106377,true,515,-1,9,8,res_Ai3.gml
0.22567901760339737,0.22568844258785248,true,48208,-1,10,8,res_Ai3.gml
0.5219739004969597,0.5219825990498066,true,48226,-1,11,8,res_Ai3.gml
0.8593045733869076,0.8593146540224552,true,53676,-1,12,8,res_Ai3.gml
4.480908542871475,4.480922017246485,true,767316,-1,13,8,res_Ai3.gml
35.31813870742917,35.31814807653427,true,2366074,-1,14,8,res_Ai3.gml
120.77724023535848,120.7772488296032,true,6062634,-1,15,8,res_Ai3.gml
709.9473058395088,709.9473144300282,true,48499214,-1,16,8,res_Ai3.gml
1741.1644037999213,1741.164412766695,true,56753352,-1,17,8,res_Ai3.gml
3600,3600,3600,3600,3600,18,3600,res_Ai3.gml
3600,3600,3600,3600,3600,19,3600,res_Ai3.gml
3600,3600,3600,3600,3600,20,3600,res_Ai3.gml
3600,3600,3600,3600,3600,21,3600,res_Ai3.gml
3600,3600,3600,3600,3600,22,3600,res_Ai3.gml
3600,3600,3600,3600,3600,23,3600,res_Ai3.gml
3600,3600,3600,3600,3600,24,3600,res_Ai3.gml
3600,3600,3600,3600,3600,25,3600,res_Ai3.gml
0.23532968759536743,0.23533528670668602,true,35,-1,1,8,res_Sago.gml
0.23660682141780853,0.23661227896809578,true,90,-1,2,8,res_Sago.gml
0.24342240765690804,0.24342811107635498,true,124,-1,3,8,res_Sago.gml
0.24663563072681427,0.24664238840341568,true,234,-1,4,8,res_Sago.gml
0.25308988243341446,0.2530962601304054,true,268,-1,5,8,res_Sago.gml
0.28868674114346504,0.2886934019625187,true,530,-1,6,8,res_Sago.gml
0.268328707665205,0.26833467185497284,true,928,-1,7,8,res_Sago.gml
0.29709840565919876,0.2971029654145241,true,7600,-1,8,8,res_Sago.gml
0.46229494735598564,0.46230048313736916,true,14060,-1,9,8,res_Sago.gml
0.6725015752017498,0.6725073456764221,true,18558,-1,10,8,res_Sago.gml
0.9129703752696514,0.9129764065146446,true,24772,-1,11,8,res_Sago.gml
1.754240844398737,1.7542470209300518,true,106326,-1,12,8,res_Sago.gml
2.374273419380188,2.374279525130987,true,107448,-1,13,8,res_Sago.gml
3.65048885345459,3.6504949368536472,true,110850,-1,14,8,res_Sago.gml
7.331769861280918,7.331775803118944,true,187016,-1,15,8,res_Sago.gml
15.381067581474781,15.381073545664549,true,948086,-1,16,8,res_Sago.gml
37.80646676942706,37.806473299860954,true,1382320,-1,17,8,res_Sago.gml
150.79927190765738,150.79927829653025,true,1201114,-1,18,8,res_Sago.gml
255.06797637045383,255.0679832175374,false,1,-1,19,8,res_Sago.gml
254.30153368413448,254.3015403561294,false,1,-1,20,8,res_Sago.gml
241.4086575433612,241.4086626805365,false,1,-1,21,8,res_Sago.gml
267.7587189562619,267.7587251663208,false,1,-1,22,8,res_Sago.gml
250.46462573111057,250.4646318629384,false,1,-1,23,8,res_Sago.gml
274.7123795002699,274.7123857550323,false,1,-1,24,8,res_Sago.gml
252.6700018569827,252.6700084656477,false,1,-1,25,8,res_Sago.gml
6.949034843593836,6.949041742831469,true,214,-1,1,8,res_Cudi.gml
6.816763520240784,6.8167695589363575,true,448,-1,2,8,res_Cudi.gml
7.0765363574028015,7.076542481780052,true,661,-1,3,8,res_Cudi.gml
7.031449679285288,7.031456246972084,true,2787,-1,4,8,res_Cudi.gml
7.059201657772064,7.059207621961832,true,3472,-1,5,8,res_Cudi.gml
7.069492690265179,7.069499906152487,true,4157,-1,6,8,res_Cudi.gml
6.966766368597746,6.966772977262735,true,10461,-1,7,8,res_Cudi.gml
7.06873470172286,7.068741247057915,true,13600,-1,8,8,res_Cudi.gml
7.56525469571352,7.565262138843536,true,66283,-1,9,8,res_Cudi.gml
8.113708265125751,8.113714206963778,true,114681,-1,10,8,res_Cudi.gml
9.528349041938782,9.528356079012156,true,391852,-1,11,8,res_Cudi.gml
13.109038155525923,13.109044201672077,true,413528,-1,12,8,res_Cudi.gml
35.91546884551644,35.915475592017174,true,3769107,-1,13,8,res_Cudi.gml
411.6458339355886,411.645840536803,true,48423248,-1,14,8,res_Cudi.gml
3600,3600,3600,3600,3600,15,3600,res_Cudi.gml
3600,3600,3600,3600,3600,16,3600,res_Cudi.gml
3600,3600,3600,3600,3600,17,3600,res_Cudi.gml
3600,3600,3600,3600,3600,18,3600,res_Cudi.gml
3600,3600,3600,3600,3600,19,3600,res_Cudi.gml
3600,3600,3600,3600,3600,20,3600,res_Cudi.gml
3600,3600,3600,3600,3600,21,3600,res_Cudi.gml
3600,3600,3600,3600,3600,22,3600,res_Cudi.gml
3600,3600,3600,3600,3600,23,3600,res_Cudi.gml
3600,3600,3600,3600,3600,24,3600,res_Cudi.gml
3600,3600,3600,3600,3600,25,3600,res_Cudi.gml
0.027199842035770416,0.027208935469388962,true,30,-1,1,8,res_Layer42.gml
0.024226106703281403,0.024235069751739502,true,173,-1,2,8,res_Layer42.gml
0.026984304189682007,0.02699035033583641,true,745,-1,3,8,res_Layer42.gml
0.03298206254839897,0.03299092501401901,true,1063,-1,4,8,res_Layer42.gml
0.03850192576646805,0.038511037826538086,true,6071,-1,5,8,res_Layer42.gml
0.07376827299594879,0.0737779475748539,true,20694,-1,6,8,res_Layer42.gml
